"expt_date,05/13/2024 20:21"
"subj_name,19"
"sustattn,True"
"changedetect,True"
"seed,1715602890"
"restarting,False"
"env,other"
"save_dir,./../subjects/19/data/beh/"
"debug,False"
"project_dir,./../"

blockNum,trialNum,time,setSize,freqTrials,colorInd,correctResponse,actualResp,acc,rts,probeTrials,wholereportResp,wholereportRespOrder,wholereportRespColorInd,wholereportRespAcc,wholereportRTtimeBlockStart,timeEncArrayOnset,timeResponse,timeWholeReportOnset,timeWholeReportOffset
0,0,12:21:36:752000,6,1,[0 2 3 7 8 1],1,nan,nan,nan,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],2.64080959998,3.65718869999,nan,nan,nan
0,1,12:21:37:800000,6,1,[6 7 0 2 5 4],1,1.0,1.0,0.152029699995,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],2.64080959998,4.7125193,4.86454899999,nan,nan
0,2,12:21:38:863000,6,0,[8 0 3 7 4 2],0,1.0,0.0,0.002072400006,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],2.64080959998,5.76728939998,5.76936179999,nan,nan
0,3,12:21:39:911000,6,1,[0 5 8 2 3 1],1,1.0,1.0,0.609409499972,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],2.64080959998,6.8229733,7.43238279998,nan,nan
0,4,12:21:40:976000,6,1,[8 2 6 3 5 4],1,1.0,1.0,0.422543099994,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],2.64080959998,7.88229469999,8.30483779998,nan,nan
0,5,12:21:42:039000,6,1,[7 0 2 4 6 8],1,1.0,1.0,0.445646599983,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],2.64080959998,8.9392204,9.38486699999,nan,nan
0,6,12:21:52:094000,6,0,[8 3 0 1 2 6],0,0.0,1.0,0.436102300009,1.0,[ 1.  1.  1.  1.  1.  1.],[ 6.  2.  1.  3.  4.  5.],[ 3.  3.  5.  7.  4.  3.],1.0,[ 6.9445588  3.7185215  2.743341   4.6968397  5.5646667  6.2973692],2.64080959998,9.99664209998,10.4327444,12.0118445,18.9750497
0,7,12:21:53:141000,6,1,[2 1 7 8 0 3],1,1.0,1.0,0.612594100006,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],2.64080959998,20.051906,20.6645001,nan,nan
0,8,12:21:54:206000,6,1,[4 6 3 1 2 0],1,1.0,1.0,0.3112502,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],2.64080959998,21.1132395,21.4244897,nan,nan
0,9,12:21:55:266000,6,1,[8 2 7 0 5 3],1,1.0,1.0,0.276606500003,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],2.64080959998,22.1718355,22.448442,nan,nan
