"expt_date,04/29/2024 18:49",,,,,,,,,,,,,,,,,,,,
"subj_name,1",,,,,,,,,,,,,,,,,,,,
"sustattn,True",,,,,,,,,,,,,,,,,,,,
"changedetect,True",,,,,,,,,,,,,,,,,,,,
"seed,1714387756",,,,,,,,,,,,,,,,,,,,
"restarting,False",,,,,,,,,,,,,,,,,,,,
"env,other",,,,,,,,,,,,,,,,,,,,
"save_dir,./../subjects/1/data/beh/",,,,,,,,,,,,,,,,,,,,
"debug,False",,,,,,,,,,,,,,,,,,,,
"project_dir,./../",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
blockNum,trialNum,time,setSize,freqTrials,colorInd,correctResponse,actualResp,acc,rts,probeTrials,wholereportResp,wholereportRespOrder,wholereportRespColorInd,wholereportRespAcc,wholereportRTtimeBlockStart,timeEncArrayOnset,timeResponse,timeWholeReportOnset,timeWholeReportOffset,
0,0,10:49:28:894000,6,1,[7 4 1 8 0 5],1,1,1,0.4035335,0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0,[ nan  nan  nan  nan  nan  nan],8.462099,9.4780453,9.8815788,nan,nan
0,1,10:49:29:976000,6,1,[0 6 8 3 2 7],1,1,1,0.4711565,0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0,[ nan  nan  nan  nan  nan  nan],8.462099,10.5350103,11.0061668,nan,nan
0,2,10:49:31:038000,6,0,[4 1 3 8 7 2],0,0,1,0.6358841,0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0,[ nan  nan  nan  nan  nan  nan],8.462099,11.6169305,12.2528146,nan,nan
0,3,10:49:32:110000,6,1,[8 5 2 7 1 4],1,1,1,0.7110275,0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0,[ nan  nan  nan  nan  nan  nan],8.462099,12.6745232,13.3855507,nan,nan
0,4,10:49:33:170000,6,1,[6 4 5 8 2 3],1,1,1,0.7458755,0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0,[ nan  nan  nan  nan  nan  nan],8.462099,13.7460296,14.4919051,nan,nan
0,5,10:49:34:227000,6,1,[5 1 0 2 6 8],1,1,1,0.5868404,0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0,[ nan  nan  nan  nan  nan  nan],8.462099,14.8018029,15.3886433,nan,nan
0,6,10:49:46:970000,6,0,[6 3 5 0 2 1],0,0,1,0.6222026,1,[ 1.  1.  1.  1.  1.  1.],[ 4.  3.  2.  1.  6.  5.],[ 6.  5.  3.  0.  8.  7.],2,[ 6.6521286  5.8481445  4.8088392  3.2729503  9.6404424  8.3776583],8.462099,15.8570727,16.4792753,17.8678422,27.5329427
0,7,10:49:48:043000,6,1,[1 0 6 4 7 8],1,0,0,0.8914976,0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0,[ nan  nan  nan  nan  nan  nan],8.462099,28.6114817,29.5029793,nan,nan
0,8,10:49:49:102000,6,1,[2 4 5 7 3 0],1,nan,nan,nan,0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0,[ nan  nan  nan  nan  nan  nan],8.462099,29.6742506,nan,nan,nan
0,9,10:49:50:146000,6,1,[7 5 6 2 1 3],1,1,1,0.1770287,0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0,[ nan  nan  nan  nan  nan  nan],8.462099,30.7295214,30.9065501,nan,nan
0,10,10:49:51:204000,6,1,[2 1 8 5 7 4],1,1,1,0.3666158,0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0,[ nan  nan  nan  nan  nan  nan],8.462099,31.7858974,32.1525132,nan,nan
0,11,10:49:52:257000,6,0,[4 8 5 2 3 7],0,0,1,0.5102698,0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0,[ nan  nan  nan  nan  nan  nan],8.462099,32.8431584,33.3534282,nan,nan
0,12,10:49:53:316000,6,1,[8 2 7 5 0 6],1,1,1,0.4979585,0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0,[ nan  nan  nan  nan  nan  nan],8.462099,33.8985452,34.3965037,nan,nan
0,13,10:49:54:387000,6,1,[3 8 1 0 6 5],1,1,1,0.5131967,0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0,[ nan  nan  nan  nan  nan  nan],8.462099,34.9583343,35.471531,nan,nan
0,14,10:49:55:439000,6,1,[2 6 4 8 5 0],1,1,1,0.4590261,0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0,[ nan  nan  nan  nan  nan  nan],8.462099,36.0145616,36.4735877,nan,nan
0,15,10:49:56:494000,6,1,[0 3 8 7 6 5],1,1,1,0.4328012,0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0,[ nan  nan  nan  nan  nan  nan],8.462099,37.0743252,37.5071264,nan,nan
