"expt_date,10/11/2023 10:53"
"subj_name,0"
"sustattn,True"
"changedetect,True"
"seed,1696992820"
"restarting,False"
"env,other"
"save_dir,./../subjects/0/data/beh/"
"debug,True"
"project_dir,./../"

blockNum,trialNum,time,setSize,freqTrials,colorInd,correctResponse,actualResp,acc,rts,probeTrials,wholereportResp,wholereportRespOrder,wholereportRespColorInd,wholereportRespAcc,wholereportRTtimeBlockStart,timeEncArrayOnset,timeResponse,timeWholeReportOnset,timeWholeReportOffset
0,0,02:55:22:530000,6,1,[4 7 1 3 8 2],1,1.0,1.0,0.368128300179,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],96.9340094,97.9530831999,98.3212115001,nan,nan
0,1,02:55:23:347000,6,1,[1 3 0 4 7 8],1,1.0,1.0,0.364396500168,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],96.9340094,98.7693896999,99.1337862001,nan,nan
0,2,02:55:24:163000,6,1,[2 5 7 8 0 6],1,1.0,1.0,0.285171900177,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],96.9340094,99.5863558999,99.8715278001,nan,nan
0,3,02:55:24:979000,6,1,[6 8 0 1 4 7],1,1.0,1.0,0.305667100009,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],96.9340094,100.4025087,100.7081758,nan,nan
0,4,02:55:25:795000,6,1,[5 1 8 0 3 4],1,1.0,1.0,0.31462650001,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],96.9340094,101.2185671,101.5331936,nan,nan
0,5,02:55:26:611000,6,1,[3 4 1 2 8 7],1,1.0,1.0,0.311886999989,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],96.9340094,102.0344004,102.3462874,nan,nan
0,6,02:55:27:426000,6,1,[4 7 6 0 5 3],1,1.0,1.0,0.295491799945,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],96.9340094,102.8501976,103.1456894,nan,nan
0,7,02:55:28:243000,6,1,[0 5 8 1 7 6],1,1.0,1.0,0.316538900137,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],96.9340094,103.6666221,103.983161,nan,nan
0,8,02:55:29:059000,6,1,[7 6 2 3 0 4],1,1.0,1.0,0.326628299896,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],96.9340094,104.4827908,104.8094191,nan,nan
0,9,02:55:29:875000,6,1,[0 8 7 5 2 3],1,1.0,1.0,0.273005800089,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],96.9340094,105.2986577,105.5716635,nan,nan
0,10,02:55:30:690000,6,1,[4 0 5 8 1 7],1,1.0,1.0,0.268723599846,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],96.9340094,106.1144455,106.3831691,nan,nan
0,11,02:55:31:507000,6,1,[2 8 7 6 5 3],1,1.0,1.0,0.265890300041,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],96.9340094,106.930589,107.1964793,nan,nan
0,12,02:55:32:323000,6,1,[3 6 4 7 8 0],1,1.0,1.0,0.261772099882,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],96.9340094,107.7465604,108.0083325,nan,nan
0,13,02:55:33:139000,6,1,[7 3 0 5 2 4],1,1.0,1.0,0.320660999976,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],96.9340094,108.5626162,108.8832772,nan,nan
0,14,02:55:33:955000,6,1,[5 0 2 7 8 3],1,1.0,1.0,0.267781100003,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],96.9340094,109.3786122,109.6463933,nan,nan
0,15,02:55:34:771000,6,1,[1 2 3 0 4 8],1,1.0,1.0,0.226367400028,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],96.9340094,110.194479,110.4208464,nan,nan
0,16,02:55:35:587000,6,1,[8 3 4 2 5 1],1,1.0,1.0,0.235124700004,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],96.9340094,111.0112738,111.2463985,nan,nan
