"expt_date,05/12/2024 14:46"
"subj_name,Q02"
"sustattn,True"
"changedetect,True"
"seed,1715496405"
"restarting,False"
"env,other"
"save_dir,./../subjects/Q02/data/beh/"
"debug,False"
"project_dir,./../"

blockNum,trialNum,time,setSize,freqTrials,colorInd,correctResponse,actualResp,acc,rts,probeTrials,wholereportResp,wholereportRespOrder,wholereportRespColorInd,wholereportRespAcc,wholereportRTtimeBlockStart,timeEncArrayOnset,timeResponse,timeWholeReportOnset,timeWholeReportOffset
0,0,06:46:56:229000,6,1,[7 3 8 4 1 5],1,1.0,1.0,0.460872499738,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],7.23757610004,8.26446000021,8.72533249995,nan,nan
0,1,06:46:57:293000,6,1,[6 2 7 1 3 5],1,1.0,1.0,0.480905400123,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],7.23757610004,9.31643619994,9.79734160006,nan,nan
0,2,06:46:58:340000,6,0,[0 8 6 3 7 2],0,0.0,1.0,0.504904499743,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],7.23757610004,10.3656486003,10.8705531,nan,nan
0,3,06:46:59:389000,6,1,[3 1 2 5 6 7],1,1.0,1.0,0.458006099798,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],7.23757610004,11.4155565002,11.8735626,nan,nan
0,4,06:47:00:437000,6,1,[8 4 1 6 7 2],1,1.0,1.0,0.490749299992,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],7.23757610004,12.4657536,12.9565029,nan,nan
0,5,06:47:01:484000,6,1,[7 2 3 1 0 4],1,1.0,1.0,0.404213000089,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],7.23757610004,13.5155655001,13.9197785002,nan,nan
0,6,06:47:14:611000,6,0,[1 7 8 5 4 6],0,0.0,1.0,0.398114900105,1.0,[ 1.  1.  1.  1.  1.  1.],[ 6.  2.  1.  3.  4.  5.],[ 7.  8.  7.  5.  3.  0.],1.0,[ 10.0176602   3.1504167   1.5745637   4.221235    6.0423064   8.5177303],7.23757610004,14.5649521002,14.9630670003,16.5885268999,26.6305072
0,7,06:47:15:645000,6,1,[4 2 6 0 8 1],1,nan,nan,nan,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],7.23757610004,27.6805258999,nan,nan,nan
0,8,06:47:16:693000,6,1,[7 6 3 8 1 5],1,nan,nan,nan,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],7.23757610004,28.7310531,nan,nan,nan
0,9,06:47:17:741000,6,1,[3 1 8 4 0 7],1,1.0,1.0,0.0636812001467,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],7.23757610004,29.7813909999,29.8450722001,nan,nan
0,10,06:47:18:804000,6,1,[8 7 4 2 1 6],1,1.0,1.0,0.00119029963389,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],7.23757610004,30.8314960003,30.8326862999,nan,nan
0,11,06:47:19:852000,6,0,[5 6 7 8 0 4],0,1.0,0.0,0.00113580003381,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],7.23757610004,31.8815958002,31.8827316002,nan,nan
0,12,06:47:20:900000,6,1,[8 2 0 4 6 7],1,0.0,0.0,0.000761299859732,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],7.23757610004,32.9320171,32.9327783999,nan,nan
