"expt_date,05/14/2024 18:40"
"subj_name,25"
"sustattn,True"
"changedetect,True"
"seed,1715683233"
"restarting,False"
"env,other"
"save_dir,./../subjects/25/data/beh/"
"debug,False"
"project_dir,./../"

blockNum,trialNum,time,setSize,freqTrials,colorInd,correctResponse,actualResp,acc,rts,probeTrials,wholereportResp,wholereportRespOrder,wholereportRespColorInd,wholereportRespAcc,wholereportRTtimeBlockStart,timeEncArrayOnset,timeResponse,timeWholeReportOnset,timeWholeReportOffset
0,0,10:40:42:355000,6,1,[8 2 5 6 7 3],1,1.0,1.0,0.564737800014,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],5.52084020001,6.5319763,7.09671410001,nan,nan
0,1,10:40:43:409000,6,1,[1 6 7 4 0 5],1,1.0,1.0,0.323281399993,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],5.52084020001,7.58058030001,7.9038617,nan,nan
0,2,10:40:44:461000,6,0,[6 8 3 0 2 1],0,1.0,0.0,0.331450900005,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],5.52084020001,8.62943540001,8.96088630002,nan,nan
0,3,10:40:45:497000,6,1,[8 7 1 3 0 5],1,0.0,0.0,0.00220919999992,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],5.52084020001,9.6763666,9.6785758,nan,nan
0,4,10:40:46:594000,6,1,[2 5 4 0 1 6],1,1.0,1.0,0.000974199996563,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],5.52084020001,10.7234104,10.7243846,nan,nan
0,5,10:40:47:627000,6,1,[7 8 3 4 0 1],1,1.0,1.0,0.00123090000125,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],5.52084020001,11.8105789,11.8118098,nan,nan
0,6,10:40:58:898000,6,0,[2 0 4 6 1 5],0,1.0,0.0,0.00210949999746,1.0,[ 1.  1.  1.  1.  1.  1.],[ 3.  2.  1.  6.  5.  4.],[ 0.  5.  0.  0.  4.  5.],1.0,[ 4.24398    2.8547701  1.85173    8.1628287  7.0232232  5.9613881],5.52084020001,12.8561215,12.858231,14.8652607,23.0462794
0,7,10:40:59:948000,6,1,[6 4 7 8 0 3],1,1.0,1.0,0.543126199977,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],5.52084020001,24.1209165,24.6640427,nan,nan
0,8,10:41:00:994000,6,1,[3 8 2 0 6 1],1,1.0,1.0,0.3143346,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],5.52084020001,25.1665929,25.4809275,nan,nan
0,9,10:41:02:035000,6,1,[4 1 5 6 7 8],1,1.0,1.0,0.308966700017,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],5.52084020001,26.2119162,26.5208829,nan,nan
0,10,10:41:03:084000,6,1,[0 2 6 1 3 5],1,1.0,1.0,0.331546000001,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],5.52084020001,27.260668,27.592214,nan,nan
0,11,10:41:04:132000,6,0,[6 7 0 3 1 2],0,0.0,1.0,0.494613599993,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],5.52084020001,28.3056307,28.8002443,nan,nan
0,12,10:41:05:169000,6,1,[4 6 3 5 8 7],1,1.0,1.0,0.698127200012,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],5.52084020001,29.3510615,30.0491887,nan,nan
0,13,10:41:06:220000,6,1,[8 0 2 4 6 1],1,1.0,1.0,0.754746299994,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],5.52084020001,30.3969457,31.151692,nan,nan
0,14,10:41:07:277000,6,1,[1 4 7 3 5 6],1,1.0,1.0,0.448990100005,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],5.52084020001,31.4473475,31.8963376,nan,nan
0,15,10:41:08:318000,6,1,[8 6 0 4 7 2],1,1.0,1.0,0.498297000013,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],5.52084020001,32.4940788,32.9923758,nan,nan
0,16,10:41:09:365000,6,1,[6 7 4 8 5 0],1,1.0,1.0,0.412554700015,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],5.52084020001,33.5399416,33.9524963,nan,nan
0,17,10:41:19:840000,6,0,[1 2 0 3 8 6],0,0.0,1.0,0.518684900017,1.0,[ 1.  1.  1.  1.  1.  1.],[ 3.  2.  1.  6.  5.  4.],[ 4.  2.  0.  4.  4.  4.],2.0,[ 4.6137272  3.5834293  1.6828993  7.3523006  6.414829   5.5966544],5.52084020001,34.5858078,35.1044927,36.6072956,43.9847715
0,18,10:41:20:886000,6,1,[2 8 1 7 3 4],1,nan,nan,nan,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],5.52084020001,45.061621,nan,nan,nan
0,19,10:41:21:933000,6,1,[8 5 3 1 6 2],1,1.0,1.0,0.466542500013,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],5.52084020001,46.110159,46.5767015,nan,nan
0,20,10:41:22:984000,6,1,[3 1 6 0 7 8],1,1.0,1.0,0.357334600005,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],5.52084020001,47.1555749,47.5129095,nan,nan
0,21,10:41:24:032000,6,1,[7 8 5 3 4 1],1,1.0,1.0,0.315025999997,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],5.52084020001,48.2050753,48.5201013,nan,nan
0,22,10:41:25:072000,6,0,[8 7 0 2 6 5],0,0.0,1.0,0.613846399996,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],5.52084020001,49.2505962,49.8644426,nan,nan
0,23,10:41:26:149000,6,1,[7 1 5 0 4 6],1,1.0,1.0,0.680352200026,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],5.52084020001,50.2953569,50.9757091,nan,nan
0,24,10:41:27:190000,6,1,[4 5 8 1 3 2],1,1.0,1.0,0.545343700011,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],5.52084020001,51.3665503,51.911894,nan,nan
0,25,10:41:28:232000,6,1,[2 3 5 6 4 7],1,1.0,1.0,0.460331600014,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],5.52084020001,52.41211,52.8724416,nan,nan
0,26,10:41:38:727000,6,0,[6 1 4 8 7 3],0,0.0,1.0,0.461463399988,1.0,[ 1.  1.  1.  1.  1.  1.],[ 3.  2.  1.  6.  5.  4.],[ 4.  0.  5.  4.  4.  4.],0.0,[ 4.4793253  3.5679804  1.4912212  7.3871884  6.4599414  5.5450026],5.52084020001,53.4583562,53.9198196,55.4699893,62.8744041
