"expt_date,05/11/2024 14:41"
"subj_name,7"
"sustattn,True"
"changedetect,True"
"seed,1715409684"
"restarting,False"
"env,other"
"save_dir,./../subjects/7/data/beh/"
"debug,False"
"project_dir,./../"

blockNum,trialNum,time,setSize,freqTrials,colorInd,correctResponse,actualResp,acc,rts,probeTrials,wholereportResp,wholereportRespOrder,wholereportRespColorInd,wholereportRespAcc,wholereportRTtimeBlockStart,timeEncArrayOnset,timeResponse,timeWholeReportOnset,timeWholeReportOffset
0,0,06:41:41:249000,6,1,[1 4 3 8 2 6],1,1.0,1.0,0.350126900012,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],13.5847454,14.5887485,14.9388754,nan,nan
0,1,06:41:42:299000,6,1,[2 3 1 5 0 8],1,1.0,1.0,0.334590399987,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],13.5847454,15.6339309,15.9685213,nan,nan
0,2,06:41:43:347000,6,0,[6 4 0 8 2 7],0,0.0,1.0,0.415934999997,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],13.5847454,16.6831444,17.0990794,nan,nan
0,3,06:41:44:399000,6,1,[4 0 6 3 1 8],1,1.0,1.0,0.478005799989,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],13.5847454,17.7288577,18.2068635,nan,nan
0,4,06:41:45:431000,6,1,[5 4 8 7 3 2],1,1.0,1.0,0.47247909999,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],13.5847454,18.7756626,19.2481417,nan,nan
0,5,06:41:46:485000,6,1,[6 5 1 8 2 3],1,1.0,1.0,0.699883599998,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],13.5847454,19.8219003,20.5217839,nan,nan
0,6,06:41:56:201000,6,0,[7 4 0 1 5 8],0,0.0,1.0,0.548529999971,1.0,[ 1.  1.  1.  1.  1.  1.],[ 6.  2.  3.  4.  1.  5.],[ 8.  4.  1.  2.  5.  6.],2.0,[ 6.5974421  2.1961221  4.0922073  4.7323468  1.0940984  5.7864152],13.5847454,20.8735269,21.4220569,22.8937088,29.514657
0,7,06:41:57:250000,6,1,[4 3 5 8 7 1],1,1.0,1.0,0.368652799982,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],13.5847454,30.5839284,30.9525812,nan,nan
0,8,06:41:58:297000,6,1,[7 0 1 6 4 3],1,1.0,1.0,0.324670000002,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],13.5847454,31.6310758,31.9557458,nan,nan
0,9,06:41:59:331000,6,1,[8 6 7 3 2 1],1,1.0,1.0,0.32538200001,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],13.5847454,32.676636,33.002018,nan,nan
0,10,06:42:00:380000,6,1,[7 1 0 2 3 5],1,1.0,1.0,0.327962299983,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],13.5847454,33.7223364,34.0502987,nan,nan
0,11,06:42:01:429000,6,0,[5 2 8 7 0 4],0,0.0,1.0,0.37284539995,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],13.5847454,34.7690704,35.1419158,nan,nan
0,12,06:42:02:477000,6,1,[1 8 7 2 4 3],1,1.0,1.0,0.551232099999,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],13.5847454,35.8156509,36.366883,nan,nan
0,13,06:42:03:526000,6,1,[0 2 4 6 3 5],1,1.0,1.0,0.447362900013,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],13.5847454,36.8612322,37.3085951,nan,nan
0,14,06:42:04:575000,6,1,[8 0 6 5 2 4],1,1.0,1.0,0.447518300032,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],13.5847454,37.9068676,38.3543859,nan,nan
0,15,06:42:05:610000,6,1,[4 6 5 1 0 2],1,1.0,1.0,0.374326699995,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],13.5847454,38.9529525,39.3272792,nan,nan
0,16,06:42:06:674000,6,1,[7 4 8 3 2 1],1,1.0,1.0,0.436581799993,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],13.5847454,39.9994484,40.4360302,nan,nan
0,17,06:42:16:170000,6,0,[0 6 4 2 5 3],0,0.0,1.0,0.557718000025,1.0,[ 1.  1.  1.  1.  1.  1.],[ 6.  4.  1.  5.  2.  3.],[ 2.  3.  4.  1.  3.  5.],1.0,[ 6.3697407  4.6296098  0.8271849  5.5822542  1.9368166  3.0764966],13.5847454,41.0586088,41.6163268,43.0675309,49.4538932
0,18,06:42:17:219000,6,1,[8 7 0 1 3 2],1,1.0,1.0,0.688494500006,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],13.5847454,50.5594326,51.2479271,nan,nan
0,19,06:42:18:267000,6,1,[3 4 7 2 6 8],1,1.0,1.0,0.376098700042,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],13.5847454,51.6074703,51.983569,nan,nan
0,20,06:42:19:316000,6,1,[1 5 4 6 7 3],1,1.0,1.0,0.350264100009,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],13.5847454,52.6534928,53.0037569,nan,nan
0,21,06:42:20:366000,6,1,[0 6 5 4 1 8],1,1.0,1.0,0.408924799995,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],13.5847454,53.7002773,54.1092021,nan,nan
0,22,06:42:21:415000,6,0,[5 8 3 1 0 7],0,0.0,1.0,0.467141599976,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],13.5847454,54.7478629,55.2150045,nan,nan
0,23,06:42:22:451000,6,1,[3 0 6 2 7 5],1,1.0,1.0,0.52567599999,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],13.5847454,55.7943226,56.3199986,nan,nan
0,24,06:42:23:501000,6,1,[6 4 7 0 5 3],1,1.0,1.0,0.486779900035,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],13.5847454,56.8409514,57.3277313,nan,nan
0,25,06:42:24:549000,6,1,[5 0 1 7 8 4],1,1.0,1.0,0.393365499971,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],13.5847454,57.887472,58.2808375,nan,nan
0,26,06:42:35:914000,6,0,[3 2 7 5 6 1],0,0.0,1.0,0.402949900017,1.0,[ 1.  1.  1.  1.  1.  1.],[ 2.  3.  4.  1.  5.  6.],[ 4.  1.  6.  5.  7.  5.],1.0,[ 2.326109   3.4592525  5.1431042  1.0608736  6.0566776  8.2591854],13.5847454,58.9355186,59.3384685,60.9446246,69.2262408
0,27,06:42:36:963000,6,1,[7 5 8 4 0 3],1,1.0,1.0,0.32625350001,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],13.5847454,70.2978008,70.6240543,nan,nan
0,28,06:42:38:027000,6,1,[1 3 5 2 4 0],1,1.0,1.0,0.308438099979,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],13.5847454,71.3438144,71.6522525,nan,nan
0,29,06:42:39:078000,6,1,[4 7 3 5 8 6],1,1.0,1.0,0.293512200005,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],13.5847454,72.4179421,72.7114543,nan,nan
0,30,06:42:40:126000,6,1,[7 5 2 3 0 4],1,1.0,1.0,0.341880400025,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],13.5847454,73.4640261,73.8059065,nan,nan
0,31,06:42:50:992000,6,0,[3 1 0 4 5 6],0,0.0,1.0,0.479234100028,1.0,[ 1.  1.  1.  1.  1.  1.],[ 1.  6.  5.  2.  3.  4.],[ 3.  0.  2.  4.  5.  7.],3.0,[ 1.9623078  7.7559562  7.046926   3.9312583  4.9860586  5.9152125],13.5847454,74.5108335,74.9900676,76.5197295,84.301313
0,32,06:42:52:041000,6,1,[2 7 5 1 6 3],1,1.0,1.0,0.353860300034,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],13.5847454,85.3754437,85.729304,nan,nan
0,33,06:42:53:089000,6,1,[3 2 7 6 1 4],1,1.0,1.0,0.231522599992,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],13.5847454,86.4220057,86.6535283,nan,nan
0,34,06:42:54:123000,6,1,[1 7 6 3 2 0],1,1.0,1.0,0.290848899982,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],13.5847454,87.4681928,87.7590417,nan,nan
0,35,06:42:55:171000,6,1,[5 8 1 6 0 3],1,1.0,1.0,0.289343299984,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],13.5847454,88.5138911,88.8032344,nan,nan
0,36,06:42:56:223000,6,1,[4 5 8 3 6 0],1,1.0,1.0,0.345873300044,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],13.5847454,89.5606644,89.9065377,nan,nan
0,37,06:42:57:270000,6,0,[7 4 3 2 0 6],0,0.0,1.0,0.404268499988,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],13.5847454,90.6065462,91.0108147,nan,nan
0,38,06:42:58:319000,6,1,[1 2 7 0 5 4],1,1.0,1.0,0.473431299964,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],13.5847454,91.6549616,92.1283929,nan,nan
0,39,06:42:59:367000,6,1,[3 6 2 4 8 0],1,1.0,1.0,0.330315800034,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],13.5847454,92.7018465,93.0321623,nan,nan
0,40,06:43:00:417000,6,1,[1 5 6 3 0 7],1,1.0,1.0,0.363542999956,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],13.5847454,93.7492546,94.1127976,nan,nan
0,41,06:43:01:466000,6,1,[6 7 4 8 3 2],1,1.0,1.0,0.404095500009,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],13.5847454,94.7980049,95.2021004,nan,nan
0,42,06:43:10:810000,6,0,[3 8 2 4 6 1],0,0.0,1.0,0.411727000028,1.0,[ 1.  1.  1.  1.  1.  1.],[ 4.  5.  1.  3.  6.  2.],[ 3.  7.  2.  5.  7.  1.],3.0,[ 4.4177329  5.2270291  1.1594051  3.5630322  6.2490607  2.2991662],13.5847454,95.843514,96.255241,97.8586734,104.1237769
